comandoerr,comando
modificar cotenido,modificar contenido
exitq,exit
cerrar sesiovn,cerrar sesion
cear,clear
mdir,mkdir
mdfile,mkfile
cw,cd
sl,ls
pw,pwd
descargalr,descargar
ubir,subir
cambiar nombr,cambiar nombre
modificar contdenido,modificar contenido
exyit,exit
cerarr sesion,cerrar sesion
cpear,clear
mkdi,mkdir
mkfiel,mkfile
cdy,cd
s,ls
zpwd,pwd
deccargar,descargar
subri,subir
cambiar nopmbre,cambiar nombre
modificar cotenido,modificar contenido
eixt,exit
cerrar sebion,cerrar sesion
clcear,clear
mkdair,mkdir
mkfie,mkfile
ncd,cd
l,ls
twd,pwd
desargar,descargar
subtir,subir
cambia rnombre,cambiar nombre
modifiuar contenido,modificar contenido
exjt,exit
crerar sesion,cerrar sesion
cleara,clear
mkdr,mkdir
mkfiel,mkfile
d,cd
tls,ls
pwdy,pwd
descaragr,descargar
seubir,subir
cambiar nohmbre,cambiar nombre
modificarkcontenido,modificar contenido
rexit,exit
cerrar osesion,cerrar sesion
cjear,clear
mkdnir,mkdir
mkuile,mkfile
dc,cd
jls,ls
pwdu,pwd
descawgar,descargar
ubir,subir
cambia rnombre,cambiar nombre
modificar contneido,modificar contenido
ext,exit
cerar sesion,cerrar sesion
cear,clear
mhdir,mkdir
mkfiile,mkfile
cfd,cd
lqs,ls
apwd,pwd
dpescargar,descargar
subfir,subir
cambiarn ombre,cambiar nombre
modificar coontenido,modificar contenido
ext,exit
crerar sesion,cerrar sesion
claer,clear
mkidr,mkdir
mzkfile,mkfile
od,cd
lc,ls
pd,pwd
dsecargar,descargar
subit,subir
cambiar nombrbe,cambiar nombre
modificar contendo,modificar contenido
eeit,exit
cerrar seqsion,cerrar sesion
cleair,clear
mkir,mkdir
mkfide,mkfile
ocd,cd
lsr,ls
wd,pwd
descarga,descargar
subri,subir
cambiar nobmre,cambiar nombre
modificar contenidt,modificar contenido
exi,exit
cerrar sesione,cerrar sesion
dlear,clear
mkidr,mkdir
kfile,mkfile
d,cd
los,ls
pw,pwd
descagar,descargar
stubir,subir
cambiar qombre,cambiar nombre
modificar contecido,modificar contenido
eyxit,exit
cerrar sesoion,cerrar sesion
cleaar,clear
mkdur,mkdir
pkfile,mkfile
d,cd
sl,ls
uwd,pwd
deoscargar,descargar
ubir,subir
cambiar nomre,cambiar nombre
modificar cntenido,modificar contenido
ext,exit
cerrfr sesion,cerrar sesion
clar,clear
mrkdir,mkdir
mkfilj,mkfile
dc,cd
sl,ls
pw,pwd
descarar,descargar
skubir,subir
cambiar onmbre,cambiar nombre
modificar contenid,modificar contenido
exti,exit
cerrar sseion,cerrar sesion
clera,clear
mdir,mkdir
mkfple,mkfile
dc,cd
sl,ls
pd,pwd
desctargar,descargar
subwr,subir
cambiar nobmre,cambiar nombre
modificar contenidko,modificar contenido
eixt,exit
terrar sesion,cerrar sesion
claer,clear
kdir,mkdir
mkfioe,mkfile
td,cd
els,ls
pdw,pwd
descarga,descargar
subirj,subir
cambiayr nombre,cambiar nombre
modifica rcontenido,modificar contenido
hexit,exit
cerrar jsesion,cerrar sesion
ctear,clear
mkwir,mkdir
mkifle,mkfile
xd,cd
sl,ls
pcd,pwd
descfrgar,descargar
suir,subir
camiar nombre,cambiar nombre
modifijcar contenido,modificar contenido
exti,exit
cerrawr sesion,cerrar sesion
cleqr,clear
mkdirs,mkdir
mzkfile,mkfile
dc,cd
sl,ls
pbwd,pwd
descarhar,descargar
usbir,subir
rcambiar nombre,cambiar nombre
modificar contendo,modificar contenido
exmit,exit
werrar sesion,cerrar sesion
clea,clear
kmkdir,mkdir
kmfile,mkfile
cc,cd
yls,ls
pdw,pwd
descargzr,descargar
usbir,subir
cambkar nombre,cambiar nombre
modificar conteniho,modificar contenido
ehit,exit
derrar sesion,cerrar sesion
clhar,clear
mkbdir,mkdir
mfkile,mkfile
dc,cd
sl,ls
wpd,pwd
descaragr,descargar
sugir,subir
cambiar nomnbre,cambiar nombre
modificar contneido,modificar contenido
erit,exit
cerrar seslon,cerrar sesion
cleqr,clear
kdir,mkdir
kfile,mkfile
od,cd
lz,ls
prd,pwd
descarga,descargar
esubir,subir
cambriar nombre,cambiar nombre
modiifcar contenido,modificar contenido
eixt,exit
xcerrar sesion,cerrar sesion
lcear,clear
mkidr,mkdir
mkfil,mkfile
ced,cd
lg,ls
pdw,pwd
descrargar,descargar
swbir,subir
cambiar nomber,cambiar nombre
modificr contenido,modificar contenido
exiqt,exit
cxrrar sesion,cerrar sesion
clemr,clear
kmdir,mkdir
kfile,mkfile
dc,cd
l,ls
opwd,pwd
dedscargar,descargar
sabir,subir
cambiar bnombre,cambiar nombre
modificarcontenido,modificar contenido
exiti,exit
cerrar sesino,cerrar sesion
claer,clear
mkdi,mkdir
emkfile,mkfile
dc,cd
lw,ls
pd,pwd
descargr,descargar
ksubir,subir
cmabiar nombre,cambiar nombre
modificarc ontenido,modificar contenido
dexit,exit
cerrnr sesion,cerrar sesion
rclear,clear
mkdjir,mkdir
mkile,mkfile
nd,cd
los,ls
pd,pwd
descaragr,descargar
ubir,subir
cambpar nombre,cambiar nombre
modificar gcontenido,modificar contenido
exiwt,exit
cerrar sesino,cerrar sesion
celar,clear
mkodir,mkdir
mkfle,mkfile
dc,cd
sl,ls
wpd,pwd
dsecargar,descargar
subr,subir
cambiar nombrm,cambiar nombre
modificlar contenido,modificar contenido
ext,exit
cerirar sesion,cerrar sesion
cyear,clear
mkdr,mkdir
kmfile,mkfile
xcd,cd
la,ls
pkd,pwd
bescargar,descargar
subsir,subir
cambiar nomre,cambiar nombre
modifica contenido,modificar contenido
eyxit,exit
cerrar sesionx,cerrar sesion
aclear,clear
mkdit,mkdir
mkfyile,mkfile
d,cd
ss,ls
pd,pwd
descaagar,descargar
suir,subir
cambiar nobre,cambiar nombre
modificar contendo,modificar contenido
xeit,exit
cwrrar sesion,cerrar sesion
lcear,clear
mkdi,mkdir
mpkfile,mkfile
czd,cd
sl,ls
pw,pwd
ddescargar,descargar
subrir,subir
kambiar nombre,cambiar nombre
modificar coctenido,modificar contenido
exi,exit
cerrar seson,cerrar sesion
cleaor,clear
mkdhir,mkdir
mkfil,mkfile
dc,cd
l,ls
ypwd,pwd
descargzr,descargar
ubir,subir
cambizr nombre,cambiar nombre
modificar conenido,modificar contenido
dexit,exit
cerrar seson,cerrar sesion
lear,clear
kmdir,mkdir
mfile,mkfile
dc,cd
lcs,ls
wd,pwd
escargar,descargar
subri,subir
cambiar nomber,cambiar nombre
modifivar contenido,modificar contenido
eqxit,exit
cerrra sesion,cerrar sesion
clesar,clear
zkdir,mkdir
mfkile,mkfile
cjd,cd
wls,ls
pjd,pwd
descarar,descargar
suvbir,subir
cambiar nomobre,cambiar nombre
modijficar contenido,modificar contenido
xeit,exit
cerrarvsesion,cerrar sesion
claer,clear
mkdwr,mkdir
mkile,mkfile
ad,cd
lb,ls
pdw,pwd
dsecargar,descargar
tsubir,subir
cambiar nombe,cambiar nombre
modificar contekido,modificar contenido
exivt,exit
acerrar sesion,cerrar sesion
lcear,clear
mkodir,mkdir
mkfyle,mkfile
zd,cd
l,ls
pwu,pwd
descargtr,descargar
subiw,subir
camlbiar nombre,cambiar nombre
modificar conteniod,modificar contenido
eixt,exit
crerar sesion,cerrar sesion
clera,clear
mdkir,mkdir
mkfilek,mkfile
cud,cd
lb,ls
pwq,pwd
dcescargar,descargar
bsubir,subir
cambiar bombre,cambiar nombre
modifsicar contenido,modificar contenido
eixt,exit
cerrar ssion,cerrar sesion
lear,clear
mkdimr,mkdir
qmkfile,mkfile
dc,cd
lx,ls
pdw,pwd
edscargar,descargar
sbuir,subir
cambiar nmobre,cambiar nombre
modificar conjenido,modificar contenido
exis,exit
cerrar sesino,cerrar sesion
cler,clear
mkdi,mkdir
mfkile,mkfile
dc,cd
lsm,ls
ewd,pwd
desacrgar,descargar
subi,subir
cambiar nombr,cambiar nombre
modificr contenido,modificar contenido
exif,exit
cermar sesion,cerrar sesion
lcear,clear
mkgdir,mkdir
mkfikle,mkfile
c,cd
sl,ls
pdw,pwd
dscargar,descargar
swbir,subir
cambiar nomre,cambiar nombre
modificar cntenido,modificar contenido
ext,exit
cmrrar sesion,cerrar sesion
cleaw,clear
kdir,mkdir
mkfiqle,mkfile
mcd,cd
sl,ls
lpwd,pwd
zdescargar,descargar
suibr,subir
cambia nombre,cambiar nombre
modificar conteniho,modificar contenido
exist,exit
cerrar sesin,cerrar sesion
cleazr,clear
emkdir,mkdir
mkfvile,mkfile
cjd,cd
vls,ls
pgd,pwd
descarxgar,descargar
subiv,subir
cambier nombre,cambiar nombre
modificar contnido,modificar contenido
exi,exit
cerrar sesione,cerrar sesion
clqar,clear
mdkir,mkdir
mxkfile,mkfile
cdd,cd
sl,ls
pw,pwd
decargar,descargar
subirq,subir
cambiar nobmre,cambiar nombre
modificar coltenido,modificar contenido
xit,exit
crerar sesion,cerrar sesion
clqear,clear
mdkir,mkdir
mkfilwe,mkfile
kd,cd
la,ls
pd,pwd
xescargar,descargar
subr,subir
cmbiar nombre,cambiar nombre
modificar contendo,modificar contenido
eit,exit
cerrar sesivon,cerrar sesion
cdlear,clear
mdkir,mkdir
mkfie,mkfile
d,cd
s,ls
pbd,pwd
descagrar,descargar
sbuir,subir
cambicr nombre,cambiar nombre
mdificar contenido,modificar contenido
exi,exit
cerrar sesioo,cerrar sesion
celar,clear
mkdri,mkdir
mkfiel,mkfile
cvd,cd
sl,ls
wpd,pwd
ydescargar,descargar
sibir,subir
cambiar nymbre,cambiar nombre
modificarycontenido,modificar contenido
eqit,exit
cerrar seion,cerrar sesion
cslear,clear
mkdjr,mkdir
mkfil,mkfile
dc,cd
s,ls
pd,pwd
decsargar,descargar
suibr,subir
cambiar nowbre,cambiar nombre
modifica rcontenido,modificar contenido
xeit,exit
cerrar sesijn,cerrar sesion
cvear,clear
mkidr,mkdir
mlfile,mkfile
d,cd
lsh,ls
pud,pwd
decsargar,descargar
subiyr,subir
cambiar nomfre,cambiar nombre
omdificar contenido,modificar contenido
ebxit,exit
cerar sesion,cerrar sesion
cler,clear
mkgdir,mkdir
mkfille,mkfile
c,cd
lgs,ls
pwk,pwd
deqscargar,descargar
subil,subir
cambiar nombrej,cambiar nombre
modificar contenito,modificar contenido
exith,exit
cerwar sesion,cerrar sesion
claer,clear
mkdri,mkdir
mkfle,mkfile
cdx,cd
sl,ls
puwd,pwd
dscargar,descargar
vsubir,subir
cambiarn ombre,cambiar nombre
modificar contenio,modificar contenido
eixt,exit
cerrar sesoin,cerrar sesion
slear,clear
mkir,mkdir
mkflie,mkfile
c,cd
sl,ls
pwdq,pwd
dercargar,descargar
subri,subir
cakmbiar nombre,cambiar nombre
modificar clntenido,modificar contenido
exiit,exit
cerra sesion,cerrar sesion
cblear,clear
mdkir,mkdir
mkifle,mkfile
crd,cd
s,ls
pw,pwd
descrgar,descargar
sbir,subir
cmbiar nombre,cambiar nombre
modificar conteindo,modificar contenido
nxit,exit
cerrar zesion,cerrar sesion
clea,clear
mkir,mkdir
mkfiel,mkfile
dc,cd
s,ls
jpwd,pwd
decsargar,descargar
subirx,subir
cambianr nombre,cambiar nombre
modificar cotenido,modificar contenido
eit,exit
cerrarusesion,cerrar sesion
clerr,clear
rmkdir,mkdir
mkfiel,mkfile
c,cd
s,ls
pdw,pwd
descarigar,descargar
subr,subir
acmbiar nombre,cambiar nombre
modificar cotnenido,modificar contenido
exvt,exit
cerrar sesaion,cerrar sesion
cleac,clear
mkdirw,mkdir
mknfile,mkfile
vd,cd
sl,ls
pwdz,pwd
descargra,descargar
rubir,subir
cambiar nombrae,cambiar nombre
gmodificar contenido,modificar contenido
axit,exit
cerrar sesiqn,cerrar sesion
clvear,clear
mkdkr,mkdir
mkfcile,mkfile
cxd,cd
ps,ls
wd,pwd
dscargar,descargar
sbuir,subir
cambir nombre,cambiar nombre
modificar contengdo,modificar contenido
xeit,exit
cerrar sesbon,cerrar sesion
cslear,clear
mkdri,mkdir
mkfie,mkfile
dc,cd
li,ls
rpwd,pwd
descaprgar,descargar
csubir,subir
cambiarb nombre,cambiar nombre
modrificar contenido,modificar contenido
eiit,exit
cerrar sesino,cerrar sesion
clejar,clear
mkdri,mkdir
kmfile,mkfile
dcd,cd
sl,ls
pd,pwd
desargar,descargar
suqbir,subir
cambiar nombee,cambiar nombre
motificar contenido,modificar contenido
exet,exit
cerrar sseion,cerrar sesion
lcear,clear
mkdi,mkdir
mkfiloe,mkfile
c,cd
zs,ls
wpd,pwd
descaergar,descargar
subi,subir
cambiarn ombre,cambiar nombre
modifhcar contenido,modificar contenido
exti,exit
cerrar sezion,cerrar sesion
clar,clear
kmdir,mkdir
mkfilo,mkfile
rd,cd
s,ls
pdd,pwd
descarga,descargar
sudbir,subir
cambar nombre,cambiar nombre
modificar cntenido,modificar contenido
pexit,exit
cerrar sesuion,cerrar sesion
clpear,clear
mkdri,mkdir
mkfilen,mkfile
cs,cd
es,ls
pwdx,pwd
escargar,descargar
sucir,subir
cmbiar nombre,cambiar nombre
modfiicar contenido,modificar contenido
exi,exit
cerrarssesion,cerrar sesion
hlear,clear
mkdikr,mkdir
mkfiie,mkfile
c,cd
s,ls
pdw,pwd
deskargar,descargar
suibr,subir
cambiar nomfre,cambiar nombre
moificar contenido,modificar contenido
eixt,exit
ceerrar sesion,cerrar sesion
cler,clear
mkdri,mkdir
rmkfile,mkfile
sd,cd
xs,ls
xpwd,pwd
descargah,descargar
ubir,subir
cambia nombre,cambiar nombre
modificar conteido,modificar contenido
bxit,exit
ecrrar sesion,cerrar sesion
clera,clear
mkdri,mkdir
mkoile,mkfile
cpd,cd
sl,ls
pwld,pwd
sescargar,descargar
subbir,subir
cambiaq nombre,cambiar nombre
moidficar contenido,modificar contenido
ejit,exit
cerrar sesivn,cerrar sesion
lear,clear
mkdnr,mkdir
mkfike,mkfile
dc,cd
lh,ls
wd,pwd
edscargar,descargar
subuir,subir
cambiar nomber,cambiar nombre
modificar ontenido,modificar contenido
emxit,exit
cerrr sesion,cerrar sesion
glear,clear
mkdri,mkdir
mfile,mkfile
cld,cd
lsh,ls
pw,pwd
dsecargar,descargar
usbir,subir
cabiar nombre,cambiar nombre
modificar contendo,modificar contenido
exti,exit
cerrqr sesion,cerrar sesion
tclear,clear
mkbir,mkdir
kfile,mkfile
cmd,cd
lsg,ls
wpd,pwd
descvrgar,descargar
sbuir,subir
cambiar noombre,cambiar nombre
modivficar contenido,modificar contenido
lxit,exit
cerrar zesion,cerrar sesion
lcear,clear
kmdir,mkdir
mkfigle,mkfile
dc,cd
wls,ls
pw,pwd
descarga,descargar
subri,subir
cambiar nombxe,cambiar nombre
modficar contenido,modificar contenido
xit,exit
cerrar sevion,cerrar sesion
cleay,clear
kdir,mkdir
mkzile,mkfile
d,cd
lns,ls
rwd,pwd
descrgar,descargar
sbbir,subir
cambiar pnombre,cambiar nombre
modificar ontenido,modificar contenido
ext,exit
cerrr sesion,cerrar sesion
clera,clear
mklir,mkdir
mfkile,mkfile
c,cd
lsg,ls
wwd,pwd
descargamr,descargar
sbir,subir
tcambiar nombre,cambiar nombre
modficar contenido,modificar contenido
ebit,exit
celrrar sesion,cerrar sesion
claer,clear
mkdi,mkdir
kfile,mkfile
dc,cd
lhs,ls
swd,pwd
dsecargar,descargar
usbir,subir
caubiar nombre,cambiar nombre
modifiacr contenido,modificar contenido
txit,exit
crerar sesion,cerrar sesion
claer,clear
mkdi,mkdir
mkfil,mkfile
fcd,cd
s,ls
pd,pwd
dekscargar,descargar
suir,subir
cambiar nofmbre,cambiar nombre
modificar conteido,modificar contenido
eit,exit
cerrar seaion,cerrar sesion
cleaor,clear
mkxir,mkdir
mkifle,mkfile
scd,cd
s,ls
pwr,pwd
descangar,descargar
usbir,subir
cambiar nomcre,cambiar nombre
modificar ocntenido,modificar contenido
eixt,exit
cerrar sesino,cerrar sesion
clar,clear
medir,mkdir
mkfil,mkfile
dc,cd
sl,ls
prd,pwd
descargra,descargar
subr,subir
cambar nombre,cambiar nombre
modifciar contenido,modificar contenido
xxit,exit
cerrar sezsion,cerrar sesion
cler,clear
mkxir,mkdir
mfkile,mkfile
d,cd
sl,ls
pdw,pwd
descargair,descargar
usbir,subir
acmbiar nombre,cambiar nombre
modiifcar contenido,modificar contenido
xit,exit
cerra sesion,cerrar sesion
celar,clear
mkdri,mkdir
mfile,mkfile
ck,cd
ds,ls
pdw,pwd
descargwr,descargar
skubir,subir
acmbiar nombre,cambiar nombre
modifcar contenido,modificar contenido
ext,exit
cerrar sesin,cerrar sesion
cleak,clear
mdkir,mkdir
mkflie,mkfile
cbd,cd
bs,ls
pw,pwd
edscargar,descargar
swubir,subir
camiar nombre,cambiar nombre
modificar contcenido,modificar contenido
excit,exit
cerrar ession,cerrar sesion
gclear,clear
mdir,mkdir
mkfwle,mkfile
d,cd
li,ls
pws,pwd
deescargar,descargar
subgir,subir
cambiar onombre,cambiar nombre
modificar contendo,modificar contenido
exti,exit
cerrar seslon,cerrar sesion
clevr,clear
mkrir,mkdir
mkfilie,mkfile
dc,cd
lus,ls
pdw,pwd
dscargar,descargar
srbir,subir
cmbiar nombre,cambiar nombre
modificar conteido,modificar contenido
eit,exit
cedrrar sesion,cerrar sesion
uclear,clear
mkdicr,mkdir
mkflie,mkfile
c,cd
lns,ls
wpd,pwd
descargarm,descargar
subri,subir
cambiar nlombre,cambiar nombre
modificar conkenido,modificar contenido
uxit,exit
cerrars esion,cerrar sesion
cear,clear
mkdiqr,mkdir
mfile,mkfile
dc,cd
js,ls
pdw,pwd
descragar,descargar
suir,subir
cambiar nombdre,cambiar nombre
modificar cotenido,modificar contenido
xit,exit
cmrrar sesion,cerrar sesion
cear,clear
mklir,mkdir
kfile,mkfile
dc,cd
fls,ls
zpwd,pwd
descadrgar,descargar
zubir,subir
cambiar nrombre,cambiar nombre
modifica contenido,modificar contenido
exti,exit
cerrar sesioln,cerrar sesion
cleaar,clear
mkeir,mkdir
mkfilek,mkfile
dc,cd
lks,ls
xpwd,pwd
descargra,descargar
sbuir,subir
cambxiar nombre,cambiar nombre
modificar conteido,modificar contenido
mxit,exit
cerrar seoion,cerrar sesion
crear,clear
mkdri,mkdir
mkfiel,mkfile
cs,cd
l,ls
pdwd,pwd
edscargar,descargar
ubir,subir
camtiar nombre,cambiar nombre
modrificar contenido,modificar contenido
xit,exit
cerrtar sesion,cerrar sesion
clesr,clear
mikdir,mkdir
mkfilx,mkfile
dc,cd
als,ls
pw,pwd
dzescargar,descargar
subqr,subir
cambiwr nombre,cambiar nombre
modificar contenio,modificar contenido
texit,exit
cerrar seson,cerrar sesion
clesr,clear
mkdr,mkdir
mkifle,mkfile
gd,cd
fs,ls
ppwd,pwd
descamgar,descargar
suboir,subir
cambiarnombre,cambiar nombre
modificra contenido,modificar contenido
eiit,exit
qcerrar sesion,cerrar sesion
cledar,clear
mkdirq,mkdir
mkfime,mkfile
nd,cd
l,ls
wd,pwd
desacrgar,descargar
sfubir,subir
cambipr nombre,cambiar nombre
modifgcar contenido,modificar contenido
exti,exit
cerrar seion,cerrar sesion
clar,clear
mqkdir,mkdir
mkifle,mkfile
ad,cd
les,ls
ewd,pwd
descagrar,descargar
snubir,subir
cambiar nmobre,cambiar nombre
modoificar contenido,modificar contenido
xeit,exit
cerrarpsesion,cerrar sesion
bclear,clear
mdkir,mkdir
mkfiel,mkfile
wcd,cd
l,ls
hwd,pwd
decsargar,descargar
subiir,subir
cambiar nmbre,cambiar nombre
mobdificar contenido,modificar contenido
exwt,exit
cerarr sesion,cerrar sesion
vlear,clear
gkdir,mkdir
mkfileh,mkfile
dc,cd
lsr,ls
wd,pwd
descaragar,descargar
suir,subir
acmbiar nombre,cambiar nombre
modificar conteniedo,modificar contenido
exiyt,exit
cerra rsesion,cerrar sesion
cwlear,clear
mdir,mkdir
mkfilep,mkfile
c,cd
sl,ls
wpd,pwd
desargar,descargar
scbir,subir
cabiar nombre,cambiar nombre
modificar ocntenido,modificar contenido
eit,exit
errar sesion,cerrar sesion
lcear,clear
kmdir,mkdir
myfile,mkfile
ced,cd
ll,ls
pwdm,pwd
descagrar,descargar
subpir,subir
cambiar enombre,cambiar nombre
modificar contenio,modificar contenido
exiet,exit
cerrar gesion,cerrar sesion
cbear,clear
mrkdir,mkdir
mfile,mkfile
cp,cd
sl,ls
pkd,pwd
dscargar,descargar
sbuir,subir
cambiar nombr,cambiar nombre
modificar cpntenido,modificar contenido
exti,exit
cerrar sesiont,cerrar sesion
cler,clear
mkqir,mkdir
mkile,mkfile
cdj,cd
lu,ls
wpwd,pwd
descragar,descargar
sbuir,subir
cambiar nombr,cambiar nombre
modificar clontenido,modificar contenido
xeit,exit
cerrbr sesion,cerrar sesion
clea,clear
mkir,mkdir
mkfle,mkfile
ck,cd
sl,ls
pdw,pwd
descagrar,descargar
subr,subir
cmbiar nombre,cambiar nombre
modificar ontenido,modificar contenido
exikt,exit
cerrar ssion,cerrar sesion
cluar,clear
mkdoir,mkdir
mkfiwe,mkfile
cdc,cd
sl,ls
pwdx,pwd
escargar,descargar
suibr,subir
cambira nombre,cambiar nombre
modificar contendio,modificar contenido
xeit,exit
cerrar sesiozn,cerrar sesion
clejr,clear
mdir,mkdir
mkfilee,mkfile
cq,cd
lsc,ls
wpd,pwd
descarga,descargar
subsir,subir
cxmbiar nombre,cambiar nombre
modificar contexnido,modificar contenido
exitw,exit
cerrar esion,cerrar sesion
claer,clear
lkdir,mkdir
mfile,mkfile
cxd,cd
lis,ls
pwm,pwd
descarganr,descargar
sabir,subir
cvambiar nombre,cambiar nombre
modificar ontenido,modificar contenido
eit,exit
cerrar sesoin,cerrar sesion
lear,clear
mkdi,mkdir
ymkfile,mkfile
c,cd
qs,ls
wpd,pwd
dpscargar,descargar
subr,subir
cambiar rombre,cambiar nombre
modificar conteindo,modificar contenido
nexit,exit
cerrarksesion,cerrar sesion
cler,clear
mdkir,mkdir
mkfiler,mkfile
dc,cd
lx,ls
pdw,pwd
descaorgar,descargar
sukbir,subir
cambiark nombre,cambiar nombre
moidficar contenido,modificar contenido
exet,exit
ecrrar sesion,cerrar sesion
claear,clear
mkdr,mkdir
mfkile,mkfile
d,cd
sl,ls
pw,pwd
descagar,descargar
subilr,subir
camblar nombre,cambiar nombre
modificar contenidso,modificar contenido
exi,exit
cerwar sesion,cerrar sesion
clar,clear
mkdi,mkdir
kmfile,mkfile
dc,cd
s,ls
fpwd,pwd
tescargar,descargar
subri,subir
cambir nombre,cambiar nombre
modificr contenido,modificar contenido
exi,exit
cerrar seson,cerrar sesion
alear,clear
mkdirl,mkdir
mfkile,mkfile
d,cd
vs,ls
pxd,pwd
descarar,descargar
subr,subir
cambar nombre,cambiar nombre
modificar montenido,modificar contenido
eit,exit
cerrar sxesion,cerrar sesion
cleaf,clear
mkdlr,mkdir
mkfilem,mkfile
csd,cd
ds,ls
wd,pwd
escargar,descargar
sbir,subir
cambiar nomber,cambiar nombre
mpodificar contenido,modificar contenido
ext,exit
cerrar sesitn,cerrar sesion
cear,clear
kdir,mkdir
mkfiel,mkfile
cxd,cd
lws,ls
pdw,pwd
descargarb,descargar
sbuir,subir
cambiao nombre,cambiar nombre
modificar cntenido,modificar contenido
ext,exit
cerrar seison,cerrar sesion
lcear,clear
mkir,mkdir
gkfile,mkfile
d,cd
sl,ls
pdw,pwd
descrgar,descargar
sbir,subir
cabiar nombre,cambiar nombre
modiifcar contenido,modificar contenido
txit,exit
ecrrar sesion,cerrar sesion
cleaz,clear
mkidr,mkdir
fkfile,mkfile
d,cd
l,ls
pdw,pwd
descargahr,descargar
sbir,subir
acmbiar nombre,cambiar nombre
modificar contenqdo,modificar contenido
eixt,exit
cerrarsesion,cerrar sesion
cklear,clear
kdir,mkdir
mkfie,mkfile
dc,cd
lt,ls
pwdd,pwd
descarar,descargar
ubir,subir
cambiar nqombre,cambiar nombre
hmodificar contenido,modificar contenido
exity,exit
cerrar sesiont,cerrar sesion
lcear,clear
mdir,mkdir
mkfaile,mkfile
dc,cd
l,ls
pwdg,pwd
descasgar,descargar
suibr,subir
cambiarnombre,cambiar nombre
moificar contenido,modificar contenido
xexit,exit
cerrar seson,cerrar sesion
clcear,clear
mwdir,mkdir
mfile,mkfile
cxd,cd
s,ls
pd,pwd
detcargar,descargar
subr,subir
cambiar nomrbe,cambiar nombre
modificar conterido,modificar contenido
exti,exit
caerrar sesion,cerrar sesion
celar,clear
mkdr,mkdir
kmfile,mkfile
dc,cd
lls,ls
pw,pwd
descragar,descargar
sbir,subir
cambiarnombre,cambiar nombre
modificar ocntenido,modificar contenido
exyt,exit
cezrar sesion,cerrar sesion
czlear,clear
mkpir,mkdir
mfile,mkfile
cdr,cd
ms,ls
wpd,pwd
edscargar,descargar
surir,subir
camtbiar nombre,cambiar nombre
modificar cotnenido,modificar contenido
exif,exit
cerrar sesio,cerrar sesion
vlear,clear
mkdid,mkdir
mkfie,mkfile
dc,cd
sl,ls
pdw,pwd
edscargar,descargar
lubir,subir
cambjar nombre,cambiar nombre
modificar coctenido,modificar contenido
ext,exit
cerrarsesion,cerrar sesion
celar,clear
mkidr,mkdir
mkfkile,mkfile
kcd,cd
sl,ls
ewd,pwd
descargac,descargar
lubir,subir
cambiar nomrbe,cambiar nombre
modificar conteido,modificar contenido
ext,exit
cerrar sesizon,cerrar sesion
clgear,clear
mkdair,mkdir
makfile,mkfile
cb,cd
gls,ls
qwd,pwd
desargar,descargar
subwir,subir
cambiad nombre,cambiar nombre
modificar cgntenido,modificar contenido
exirt,exit
cerrar sesbion,cerrar sesion
cleqar,clear
mkdri,mkdir
mkile,mkfile
cdd,cd
l,ls
pw,pwd
edscargar,descargar
rubir,subir
cambiar nombr,cambiar nombre
modificar contenidvo,modificar contenido
emit,exit
cerrar sesifon,cerrar sesion
lcear,clear
kmdir,mkdir
mkfkle,mkfile
cad,cd
ly,ls
pad,pwd
decsargar,descargar
sublr,subir
cambiar nomre,cambiar nombre
modificarcontenido,modificar contenido
eoxit,exit
cerrar sesoin,cerrar sesion
cllear,clear
mkkdir,mkdir
mkfle,mkfile
cdn,cd
lds,ls
pwr,pwd
dscargar,descargar
stubir,subir
cabiar nombre,cambiar nombre
modificbar contenido,modificar contenido
xeit,exit
cerrar sesiwon,cerrar sesion
clera,clear
mkdiro,mkdir
mkile,mkfile
cdf,cd
lf,ls
prd,pwd
desacrgar,descargar
subio,subir
cambivar nombre,cambiar nombre
moificar contenido,modificar contenido
ext,exit
cerxrar sesion,cerrar sesion
lear,clear
mkdri,mkdir
mkfite,mkfile
cb,cd
xs,ls
pwk,pwd
descagar,descargar
sunir,subir
cambiar qnombre,cambiar nombre
modificar conftenido,modificar contenido
nxit,exit
cerrar seston,cerrar sesion
cljear,clear
mkdr,mkdir
mkfimle,mkfile
ucd,cd
l,ls
ypwd,pwd
descrgar,descargar
jubir,subir
cambira nombre,cambiar nombre
modificar cbontenido,modificar contenido
exi,exit
cerrar sesiorn,cerrar sesion
clesr,clear
mkdicr,mkdir
mkfil,mkfile
dc,cd
as,ls
pqwd,pwd
oescargar,descargar
suibr,subir
cambior nombre,cambiar nombre
modificir contenido,modificar contenido
exqt,exit
cerrar sesiion,cerrar sesion
cler,clear
ekdir,mkdir
kmfile,mkfile
d,cd
lj,ls
pbd,pwd
destargar,descargar
subri,subir
cambiar nombzre,cambiar nombre
modificar conteido,modificar contenido
xit,exit
cerrar sesino,cerrar sesion
celar,clear
kdir,mkdir
mkfyile,mkfile
d,cd
s,ls
pywd,pwd
descarwar,descargar
subic,subir
cambiar zombre,cambiar nombre
modifciar contenido,modificar contenido
zxit,exit
serrar sesion,cerrar sesion
lear,clear
mdkir,mkdir
mkfvile,mkfile
ed,cd
lsn,ls
jwd,pwd
dsecargar,descargar
